gene,target,full_name,beta,se,t_stat,p_value,FDR
TNNT2,Troponin T,"Troponin T, cardiac muscle",0.2265248020266063,0.03759919113166191,6.024725405218944,2.2110245669123734e-9,1.1008691318656707e-5
CRP,CRP,C-reactive protein,0.3483223315538099,0.07203260045070876,4.835620668618838,1.4882021993792338e-6,0.0037048793753546028
CACNA2D3,CA2D3,Voltage-dependent calcium channel subunit alpha-2/delta-3,-0.13313352054302177,0.02827815943131163,-4.707998088291655,2.773862659581559e-6,0.0046036873940188605
CNTN1,contactin-1,Contactin-1,-0.06228635680280628,0.013945097987496453,-4.466541350849875,8.650620490511082e-6,0.005383929927781835
AGER,sRAGE,"Advanced glycosylation end product-specific receptor, soluble",-0.28159053218100477,0.06286860113795313,-4.479032888979161,8.166954665384573e-6,0.005383929927781835
TIMP4,TIMP-4,Metalloproteinase inhibitor 4,0.15332836345075446,0.03425596322178333,4.475961235072004,8.283429697149272e-6,0.005383929927781835
LILRA5,LIRA5,Leukocyte immunoglobulin-like receptor subfamily A member 5,0.11606606255530284,0.02581133039647497,4.496709808152852,7.5265285402258914e-6,0.005383929927781835
COMP,COMP,Cartilage oligomeric matrix protein,-0.1708584493763391,0.037988145235183256,-4.497678112962887,7.4928735941021424e-6,0.005383929927781835
EDIL3,EDIL3,EGF-like repeat and discoidin I-like domain-containing protein 3,-0.2118066224707142,0.048098314670722175,-4.403618378746284,1.1533768403706201e-5,0.0063807369868947965
LPO,PERL,Lactoperoxidase,-0.18430083768328082,0.044717670742894663,-4.121431966859879,4.007363642267121e-5,0.019952663574847995
INHBB,Inhibin bB chain,Inhibin beta B chain,0.1480243381220141,0.03652609156537385,4.052564393786353,5.371010085225534e-5,0.02431114474030721
PAK7,PAK7,Serine/threonine-protein kinase PAK 5,0.10960457333018364,0.02745194682888251,3.9925974654324845,6.906809290078225e-5,0.028657502879416236
ANTXR2,ANTR2,Anthrax toxin receptor 2,-0.10590139726552496,0.026929912362377073,-3.9324820608579643,8.857961556418611e-5,0.03392599276108328
MRC2,MRC2,C-type mannose receptor 2,-0.08777646872620554,0.022541930151263597,-3.893919825729084,1.0372703521209395e-4,0.03688977916578684
PZP,Pregnancy zone protein,Pregnancy zone protein,0.5281207196506524,0.14000265756972374,3.772219247964198,1.691920740665409e-4,0.056160489118487145
SLCO5A1,SO5A1,Solute carrier organic anion transporter family member 5A1,0.14783800413205614,0.039778217965736586,3.7165567411641733,2.1067038599709785e-4,0.05804619348446
PRSS8,Prostasin,Prostasin,-0.09226893345418398,0.025168950252009957,-3.6659825908637376,2.5648046930269535e-4,0.05804619348446
TNFRSF17,BCMA,Tumor necrosis factor receptor superfamily member 17,-0.09654261003384763,0.026302431114513546,-3.6704823829222355,2.5205341544365205e-4,0.05804619348446
TNNI2,"Troponin I, skeletal, fast twitch","Troponin I, fast skeletal muscle",0.21827679959449434,0.05901599210688259,3.6986042562696895,2.2597097098879374e-4,0.05804619348446
CRISPLD2,CRLD2,Cysteine-rich secretory protein LCCL domain-containing 2,0.31106268549156457,0.08444160337846954,3.6837610022321963,2.3940405938001493e-4,0.05804619348446
MATN4,MATN4,Matrilin-4,-0.14445721610813259,0.03930141152220079,-3.6756241191625096,2.4708265677594236e-4,0.05804619348446
NEO1,NEO1,Neogenin,-0.06275581374459786,0.017094866509220687,-3.6710326875467802,2.5151695726858436e-4,0.05804619348446
CCL14,HCC-1,C-C motif chemokine 14,0.13211880376309476,0.036246670641776814,3.6449914274559228,2.781139378364632e-4,0.060205621586423924
PRTN3,Proteinase-3,Myeloblastin,0.1349569430570823,0.037636314178141304,3.5858172088345355,3.4867469276223564e-4,0.07233547063596547
FAP,SEPR,Prolyl endopeptidase FAP,-0.09631446195668035,0.027120249561471466,-3.551385533469059,3.971170301063033e-4,0.07908982771597137
SPINK9,ISK9,Serine protease inhibitor Kazal-type 9,-0.14524788182141934,0.0411739592092451,-3.5276637129617043,4.340793626328134e-4,0.08312619794418377
GNGT2,GBGT2,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2,-0.12482268499517381,0.03624136854408722,-3.4442045101947074,5.912565952458735e-4,0.10490153837140201
ACY1,Aminoacylase-1,Aminoacylase-1,-0.19005643809380976,0.05532562838461858,-3.4352332480085943,6.10995101982458e-4,0.10490153837140201
IGDCC4,IGDC4,Immunoglobulin superfamily DCC subclass member 4,-0.09458201802705231,0.027476803503783027,-3.4422496784980896,5.955062722252389e-4,0.10490153837140201
NOTUM,NOTUM,Palmitoleoyl-protein carboxylesterase NOTUM,-0.11837940285242275,0.03470824545224302,-3.4106997144326257,6.681530511457336e-4,0.11089113472182026
ACE,ACE,Angiotensin-converting enzyme,-0.14603154340807933,0.04299519303785289,-3.396462094716343,7.035672012760289e-4,0.11300197081139833
KLK10,kallikrein 10,Kallikrein-10,-0.13652492582889814,0.04041176900937288,-3.3783456942266823,7.511549565704686e-4,0.11687501652388635
NDUFA5,NDUA5,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,0.12376927527726855,0.0370352227013911,3.3419341440228356,8.559813528588613e-4,0.1192455176385286
ADAMTS5,ADAMTS-5,A disintegrin and metalloproteinase with thrombospondin motifs 5,0.09371851906851665,0.028060190938974706,3.3399102405374097,8.621889204633521e-4,0.1192455176385286
DUSP13,DUSP13,Dual specificity protein phosphatase 13 isoform A,-0.11131222857384698,0.03319414016469093,-3.353369842435363,8.216793007109803e-4,0.1192455176385286
KRT1,Keratin-1,"Keratin, type II cytoskeletal 1",-0.11116120605857245,0.03321165654320428,-3.3470539451702868,0.00084046304726950705,0.1192455176385286
TNXB,Tenascin-X,Tenascin-X,-0.06752783654154298,0.020323808629258425,-3.3225975393376324,9.170226368276707e-4,0.1201540975990782
CILP2,CILP2,Cartilage intermediate layer protein 2,-0.1269718105202102,0.038164872162233944,-3.326928752190481,9.030090318971709e-4,0.1201540975990782
GLTP,GLTP,Glycolipid transfer protein,0.12101415537500997,0.0366441024769596,3.3024183209589864,9.850118090157097e-4,0.12260934492723047
MMP19,MMP19,Matrix metalloproteinase-19,0.10047393993862025,0.03037576250328124,3.3077009977203664,9.667752641446221e-4,0.12260934492723047
CADM1,Nectin-like protein 2,Cell adhesion molecule 1,-0.09279962055251603,0.028234202621610673,-3.2867802854643573,0.0010408825764533247,0.1264037645892952
NPDC1,NPDC1,Neural proliferation differentiation and control protein 1,0.10240695966349754,0.03153971134645681,3.246921271364203,0.0011968368210966652,0.12664616781564328
DEFB4A,HBD-2,Beta-defensin 4A,0.27743628196955505,0.08518397113807008,3.2569071183576734,0.0011558556820180762,0.12664616781564328
IL5RA,IL-5 Ra,Interleukin-5 receptor subunit alpha,-0.15388047842986094,0.04731118239417765,-3.2525181287542337,0.0011737051552216493,0.12664616781564328
CD93,C1QR1,Complement component C1q receptor,-0.062494481729337165,0.019084258087410003,-3.2746613173589987,0.0010861844330980015,0.12664616781564328
GLYAT,GLYAT,Glycine N-acyltransferase,-0.147586536675625,0.04561805342855439,-3.235265987549656,0.0012463671867777707,0.12664616781564328
FABP3,FABP,"Fatty acid-binding protein, heart",0.09359973053708429,0.028834740316385492,3.246075029983736,0.0012003707882501389,0.12664616781564328
EPHB2,EPHB2,Ephrin type-B receptor 2,-0.07425875917892209,0.022894410091624198,-3.2435323243418828,0.001211047466255081,0.12664616781564328
IGSF3,IGSF3,Immunoglobulin superfamily member 3,-0.12492170099736297,0.03858721055662666,-3.2373861493315412,0.0012372186440355755,0.12664616781564328
ZNF175,ZN175,Zinc finger protein 175,0.06225700323435793,0.019422196303335963,3.2054563892789325,0.0013817947481607662,0.13465023990377895
PPP2R3A,"PP2A, subunit B",Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha,0.09411199731506613,0.02960644265812679,3.17876748658397,0.001514443348988074,0.13465023990377895
ELANE,Elastase,Neutrophil elastase,0.08688226882062064,0.02718931909967207,3.1954558516939295,0.0014301891223488631,0.13465023990377895
CDH17,CAD17,Cadherin-17,-0.15703766993305468,0.04923856344424882,-3.189322737062855,0.001460637247859506,0.13465023990377895
POR,NADPH-P450 Oxidoreductase,NADPH--cytochrome P450 reductase,-0.13177240812407592,0.04140303576585741,-3.1826750306251865,0.0014943147969431606,0.13465023990377895
ROBO2,ROBO2,Roundabout homolog 2,-0.04926628535704974,0.015464391682288945,-3.185788770047348,0.0014784522772037642,0.13465023990377895
RNASE4,RNAS4,Ribonuclease 4,0.04870100733892133,0.01531060023531565,3.180868587149633,0.0015035892839829926,0.13465023990377895
SERPINA4,Kallistatin,Kallistatin,-0.032353734774672314,0.010204886116045458,-3.1704160543057447,0.0015583042671444705,0.13611924466863717
SERPINA6,CBG,Corticosteroid-binding globulin,0.1059923421490902,0.033939249613273756,3.1230019330667886,0.0018303094602223637,0.1509819620505358
CLEC3B,Tetranectin,Tetranectin,-0.0449095480100966,0.01434002187420931,-3.131762866475603,0.001776972946971236,0.1509819620505358
FBP1,F16P1,"Fructose-1,6-bisphosphatase 1",-0.15794475493255378,0.05062547408743645,-3.119867177140182,0.0018497488823222903,0.1509819620505358
MSMP,PSMP,Prostate-associated microseminoprotein,0.14426291753521858,0.04611459886478023,3.1283567695825405,0.001797536955412464,0.1509819620505358
PTPN4,PTN4,Tyrosine-protein phosphatase non-receptor type 4,0.07078296851135285,0.0227378307627439,3.1130044571943625,0.001892971079795928,0.15201779042425687
NUDT1,8ODP,"7,8-dihydro-8-oxoguanine triphosphatase",0.0906393958045876,0.029161272181357008,3.108211303021751,0.0019237076583865458,0.15203397509693034
CCL18,PARC,C-C motif chemokine 18,0.0743645819698668,0.0242907397802009,3.0614375125157984,0.002248661672287893,0.17493885103627219
ITIH4,ITI heavy chain H4,Inter-alpha-trypsin inhibitor heavy chain H4,0.04323792328959773,0.014157437250563102,3.054078398820237,0.0023041480442593213,0.17649774019026399
SRSF6,SRSF6,Serine/arginine-rich splicing factor 6,0.10111934729183471,0.03332325219182946,3.034498154913829,0.0024579494780427084,0.18391632456020707
GZMK,Granzyme K,Granzyme K,-0.17474631775638982,0.05762616638305254,-3.032412682023934,0.0024748732166165644,0.18391632456020707
FUT5,FUT5,"Alpha-(1,3)-fucosyltransferase 5",0.12179972120657247,0.04029688640054809,3.022559112778396,0.0025562884338634277,0.1871729428265589
