gene,target,full_name,beta,se,t_stat,p_value,FDR
TNNT2,Troponin T,"Troponin T, cardiac muscle",0.22775710673613142,0.03766712580222983,6.046575147038392,1.9392450156885147e-9,9.655500933113115e-6
CACNA2D3,CA2D3,Voltage-dependent calcium channel subunit alpha-2/delta-3,-0.1377438379885644,0.028271120951495945,-4.872245363913517,1.2414947596746086e-6,0.003090701204209938
CNTN1,contactin-1,Contactin-1,-0.06263870237561961,0.013986629476495831,-4.478470133271374,8.189259271562626e-6,0.00509679023913879
AGER,sRAGE,"Advanced glycosylation end product-specific receptor, soluble",-0.2844408129566955,0.06300336981968795,-4.514692051722771,6.925460165290228e-6,0.00509679023913879
CRP,CRP,C-reactive protein,0.33712602359314675,0.0720458978811203,4.679322952563146,3.1843835255583885e-6,0.00509679023913879
TIMP4,TIMP-4,Metalloproteinase inhibitor 4,0.15671654602907045,0.034305143572063705,4.568310454665816,5.391809004720846e-6,0.00509679023913879
LILRA5,LIRA5,Leukocyte immunoglobulin-like receptor subfamily A member 5,0.11598325889177387,0.02587330566646728,4.482738324469002,8.029598262716086e-6,0.00509679023913879
COMP,COMP,Cartilage oligomeric matrix protein,-0.17213005109902643,0.03809663744927962,-4.518247872353398,6.811995449794524e-6,0.00509679023913879
EDIL3,EDIL3,EGF-like repeat and discoidin I-like domain-containing protein 3,-0.21425994622359507,0.04818207266433079,-4.446881057115913,9.469011018655749e-6,0.005238467317987441
PAK7,PAK7,Serine/threonine-protein kinase PAK 5,0.11354961006738411,0.02743944240829918,4.138189412808203,3.7296266315935054e-5,0.018569810998704063
LPO,PERL,Lactoperoxidase,-0.18428908609807898,0.04477559616624967,-4.1158376856406855,4.104908318335399e-5,0.018580307742719956
MRC2,MRC2,C-type mannose receptor 2,-0.09124826543825199,0.022563673892510107,-4.044034046624888,5.568255864825344e-5,0.02310362162580449
ANTXR2,ANTR2,Anthrax toxin receptor 2,-0.10706991019668578,0.026949772242029175,-3.9729430451254895,7.495500837726033e-5,0.028707768208490705
INHBB,Inhibin bB chain,Inhibin beta B chain,0.14335487381376583,0.036581503505588316,3.91878025986183,9.371220095034993e-5,0.033328074895128026
MATN4,MATN4,Matrilin-4,-0.14921495923045724,0.03937228424947664,-3.789847657427717,1.5775982371621518e-4,0.05236574415220236
