source,pathway,pathway_clean,NES,padj,size
Hallmark,HALLMARK_FATTY_ACID_METABOLISM,FATTY ACID METABOLISM,-1.6923585421766831,0.03875243662382658,87
Hallmark,HALLMARK_OXIDATIVE_PHOSPHORYLATION,OXIDATIVE PHOSPHORYLATION,-1.7508001346019646,0.05447847694730844,50
Hallmark,HALLMARK_COAGULATION,COAGULATION,1.4514740438745983,0.1475059666846399,103
Hallmark,HALLMARK_CHOLESTEROL_HOMEOSTASIS,CHOLESTEROL HOMEOSTASIS,-1.5566261445445526,0.2490714685418096,34
Hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,EPITHELIAL MESENCHYMAL TRANSITION,-1.398324466045541,0.2490714685418096,135
Hallmark,HALLMARK_KRAS_SIGNALING_UP,KRAS SIGNALING UP,1.3681378025996047,0.2490714685418096,98
Hallmark,HALLMARK_MYOGENESIS,MYOGENESIS,1.3729142038826447,0.2490714685418096,88
Hallmark,HALLMARK_GLYCOLYSIS,GLYCOLYSIS,-1.283055835789225,0.498792270531401,104
Hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE,INTERFERON GAMMA RESPONSE,1.2439344969570671,0.498792270531401,96
Hallmark,HALLMARK_PANCREAS_BETA_CELLS,PANCREAS BETA CELLS,-1.3346481009865296,0.5548780487804879,18
Hallmark,HALLMARK_MYC_TARGETS_V2,MYC TARGETS V2,-1.2897485613231148,0.5852226720647774,16
Hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNFA SIGNALING VIA NFKB,1.1658014535358443,0.5852226720647774,99
Hallmark,HALLMARK_WNT_BETA_CATENIN_SIGNALING,WNT BETA CATENIN SIGNALING,-1.2977852216775245,0.5852226720647774,16
Hallmark,HALLMARK_ANDROGEN_RESPONSE,ANDROGEN RESPONSE,-1.1390612958798714,0.631188831318365,44
Hallmark,HALLMARK_ANGIOGENESIS,ANGIOGENESIS,-1.1112364393188476,0.631188831318365,27
Hallmark,HALLMARK_BILE_ACID_METABOLISM,BILE ACID METABOLISM,1.1006746633344429,0.631188831318365,31
Hallmark,HALLMARK_COMPLEMENT,COMPLEMENT,1.1119960655498031,0.631188831318365,126
Hallmark,HALLMARK_ESTROGEN_RESPONSE_EARLY,ESTROGEN RESPONSE EARLY,1.171729935756049,0.631188831318365,62
Hallmark,HALLMARK_IL2_STAT5_SIGNALING,IL2 STAT5 SIGNALING,-1.1442452212577463,0.631188831318365,98
Hallmark,HALLMARK_INTERFERON_ALPHA_RESPONSE,INTERFERON ALPHA RESPONSE,-1.150761301379963,0.631188831318365,36
Hallmark,HALLMARK_MTORC1_SIGNALING,MTORC1 SIGNALING,-1.1321663382473999,0.631188831318365,94
Hallmark,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,REACTIVE OXYGEN SPECIES PATHWAY,1.095450331844548,0.631188831318365,24
Hallmark,HALLMARK_SPERMATOGENESIS,SPERMATOGENESIS,-1.1021166300390435,0.631188831318365,45
Hallmark,HALLMARK_XENOBIOTIC_METABOLISM,XENOBIOTIC METABOLISM,-1.1192993600230143,0.631188831318365,105
Hallmark,HALLMARK_ALLOGRAFT_REJECTION,ALLOGRAFT REJECTION,1.0620533539584522,0.6742857142857143,128
Hallmark,HALLMARK_INFLAMMATORY_RESPONSE,INFLAMMATORY RESPONSE,1.0170690959995374,0.7865761689291101,110
Hallmark,HALLMARK_APICAL_JUNCTION,APICAL JUNCTION,-0.945366318975153,0.8045569620253163,102
Hallmark,HALLMARK_APICAL_SURFACE,APICAL SURFACE,-0.9931595460232066,0.8045569620253163,23
Hallmark,HALLMARK_DNA_REPAIR,DNA REPAIR,0.9448331016744663,0.8045569620253163,51
Hallmark,HALLMARK_ESTROGEN_RESPONSE_LATE,ESTROGEN RESPONSE LATE,0.9555896020821973,0.8045569620253163,79
Hallmark,HALLMARK_HEDGEHOG_SIGNALING,HEDGEHOG SIGNALING,-0.9304297649145229,0.8045569620253163,17
Hallmark,HALLMARK_HEME_METABOLISM,HEME METABOLISM,-0.9803974972752502,0.8045569620253163,70
Hallmark,HALLMARK_HYPOXIA,HYPOXIA,-0.9511768222569454,0.8045569620253163,102
Hallmark,HALLMARK_KRAS_SIGNALING_DN,KRAS SIGNALING DN,0.9534167011564092,0.8045569620253163,74
Hallmark,HALLMARK_UV_RESPONSE_UP,UV RESPONSE UP,-0.9337696172383428,0.8045569620253163,71
Hallmark,HALLMARK_IL6_JAK_STAT3_SIGNALING,IL6 JAK STAT3 SIGNALING,0.9078129904618761,0.8591129591129592,71
Hallmark,HALLMARK_P53_PATHWAY,P53 PATHWAY,-0.9022247528153206,0.8591129591129592,75
Hallmark,HALLMARK_PEROXISOME,PEROXISOME,-0.8766238361973262,0.8721682847896439,40
Hallmark,HALLMARK_ADIPOGENESIS,ADIPOGENESIS,-0.870226784174218,0.8765652951699463,74
Hallmark,HALLMARK_APOPTOSIS,APOPTOSIS,0.851735021699483,0.9765964164496014,90
Hallmark,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,UNFOLDED PROTEIN RESPONSE,-0.7889841276427995,0.9765964164496014,41
Hallmark,HALLMARK_G2M_CHECKPOINT,G2M CHECKPOINT,0.7857424637665121,0.9837099919697144,66
Hallmark,HALLMARK_MITOTIC_SPINDLE,MITOTIC SPINDLE,0.8027660836550718,0.9837099919697144,50
Hallmark,HALLMARK_MYC_TARGETS_V1,MYC TARGETS V1,0.7731507927824288,0.9837099919697144,94
Hallmark,HALLMARK_PROTEIN_SECRETION,PROTEIN SECRETION,0.7413213981013174,0.9837099919697144,43
Hallmark,HALLMARK_TGF_BETA_SIGNALING,TGF BETA SIGNALING,-0.697668551702272,0.9837099919697144,26
Hallmark,HALLMARK_UV_RESPONSE_DN,UV RESPONSE DN,-0.689382879628424,0.9876819708846585,57
Hallmark,HALLMARK_E2F_TARGETS,E2F TARGETS,0.6639504586109727,0.989821882951654,70
Hallmark,HALLMARK_PI3K_AKT_MTOR_SIGNALING,PI3K AKT MTOR SIGNALING,0.6261548348070671,0.989821882951654,61
KEGG,KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,COMPLEMENT AND COAGULATION CASCADES,1.8882730831025347,0.02790144687683691,53
KEGG,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,VALINE LEUCINE AND ISOLEUCINE DEGRADATION,-2.0326840662883576,0.02790144687683691,20
KEGG,KEGG_ARGININE_AND_PROLINE_METABOLISM,ARGININE AND PROLINE METABOLISM,-1.8980587875280295,0.05996670122579762,24
KEGG,KEGG_LYSOSOME,LYSOSOME,-1.749168134637843,0.05996670122579762,55
KEGG,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,CYTOKINE CYTOKINE RECEPTOR INTERACTION,1.4140310045348445,0.07063562359688709,219
KEGG,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,GLYCOLYSIS GLUCONEOGENESIS,-1.7514468233895526,0.07063562359688709,41
KEGG,KEGG_AXON_GUIDANCE,AXON GUIDANCE,-1.5348209025950217,0.11519380212886428,89
KEGG,KEGG_FATTY_ACID_METABOLISM,FATTY ACID METABOLISM,-1.7572259916948914,0.1288942558412765,21
KEGG,KEGG_APOPTOSIS,APOPTOSIS,-1.5861106152445732,0.20224865407349485,48
KEGG,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,DRUG METABOLISM CYTOCHROME P450,-1.6419288543413781,0.20238059907470637,26
KEGG,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,METABOLISM OF XENOBIOTICS BY CYTOCHROME P450,-1.6062925682544436,0.20238059907470637,29
KEGG,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,SYSTEMIC LUPUS ERYTHEMATOSUS,1.5971760993793496,0.20238059907470637,29
KEGG,KEGG_ECM_RECEPTOR_INTERACTION,ECM RECEPTOR INTERACTION,-1.500681640564995,0.280811242675533,39
KEGG,KEGG_GLUTATHIONE_METABOLISM,GLUTATHIONE METABOLISM,-1.5377738913502483,0.280811242675533,29
KEGG,KEGG_TYPE_II_DIABETES_MELLITUS,TYPE II DIABETES MELLITUS,1.5231119812442286,0.280811242675533,18
KEGG,KEGG_ALZHEIMERS_DISEASE,ALZHEIMERS DISEASE,-1.4146734208178688,0.29516129032258065,46
KEGG,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM,-1.5031019266256738,0.29516129032258065,27
KEGG,KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,B CELL RECEPTOR SIGNALING PATHWAY,-1.397619044256667,0.29516129032258065,44
KEGG,KEGG_CELL_ADHESION_MOLECULES_CAMS,CELL ADHESION MOLECULES CAMS,-1.3715992543028883,0.29516129032258065,65
KEGG,KEGG_CHEMOKINE_SIGNALING_PATHWAY,CHEMOKINE SIGNALING PATHWAY,1.276719932626252,0.29516129032258065,94
KEGG,KEGG_P53_SIGNALING_PATHWAY,P53 SIGNALING PATHWAY,-1.4579174751822255,0.29516129032258065,26
KEGG,KEGG_PYRUVATE_METABOLISM,PYRUVATE METABOLISM,-1.515588079708568,0.29516129032258065,17
KEGG,KEGG_STARCH_AND_SUCROSE_METABOLISM,STARCH AND SUCROSE METABOLISM,-1.5381404351413424,0.29516129032258065,20
KEGG,KEGG_TYROSINE_METABOLISM,TYROSINE METABOLISM,-1.5345786746916992,0.29516129032258065,22
KEGG,KEGG_RETINOL_METABOLISM,RETINOL METABOLISM,-1.4596065915354346,0.34185639229422066,15
KEGG,KEGG_PRION_DISEASES,PRION DISEASES,1.3760740236793942,0.4680890885270448,25
KEGG,KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,SNARE INTERACTIONS IN VESICULAR TRANSPORT,-1.3095186764076814,0.5122516763802719,25
KEGG,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,ANTIGEN PROCESSING AND PRESENTATION,1.2377812357409625,0.6224489795918366,51
KEGG,KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,NEUROACTIVE LIGAND RECEPTOR INTERACTION,1.253917173990193,0.6344416027280477,33
KEGG,KEGG_PEROXISOME,PEROXISOME,-1.246992020303542,0.6344416027280477,26
KEGG,KEGG_NOTCH_SIGNALING_PATHWAY,NOTCH SIGNALING PATHWAY,-1.2530128030959597,0.7186535764375876,19
KEGG,KEGG_HEDGEHOG_SIGNALING_PATHWAY,HEDGEHOG SIGNALING PATHWAY,-1.2371571952633778,0.7339224872231687,20
KEGG,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,FRUCTOSE AND MANNOSE METABOLISM,-1.1992490073018334,0.7359408445222806,20
KEGG,KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,LEUKOCYTE TRANSENDOTHELIAL MIGRATION,1.156414007831286,0.7359408445222806,51
KEGG,KEGG_O_GLYCAN_BIOSYNTHESIS,O GLYCAN BIOSYNTHESIS,-1.2196619049462847,0.7359408445222806,15
KEGG,KEGG_PURINE_METABOLISM,PURINE METABOLISM,-1.163819636858918,0.7359408445222806,64
KEGG,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,GLYCEROPHOSPHOLIPID METABOLISM,1.1706442591756654,0.8326552040950257,16
KEGG,KEGG_TGF_BETA_SIGNALING_PATHWAY,TGF BETA SIGNALING PATHWAY,1.1199764656053155,0.8326552040950257,54
KEGG,KEGG_GALACTOSE_METABOLISM,GALACTOSE METABOLISM,-1.1196741539788064,0.9045458228668666,17
KEGG,KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,PATHOGENIC ESCHERICHIA COLI INFECTION,-1.113267535449433,0.9045458228668666,22
KEGG,KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,PHOSPHATIDYLINOSITOL SIGNALING SYSTEM,1.1315459931137837,0.9045458228668666,19
KEGG,KEGG_PYRIMIDINE_METABOLISM,PYRIMIDINE METABOLISM,-1.098061454838862,0.9045458228668666,39
KEGG,KEGG_REGULATION_OF_AUTOPHAGY,REGULATION OF AUTOPHAGY,1.1026229779504357,0.9045458228668666,22
KEGG,KEGG_ETHER_LIPID_METABOLISM,ETHER LIPID METABOLISM,1.082659026450831,0.9045697568848986,15
KEGG,KEGG_RNA_DEGRADATION,RNA DEGRADATION,-1.1041738707936581,0.9045697568848986,17
KEGG,KEGG_VIRAL_MYOCARDITIS,VIRAL MYOCARDITIS,-1.095606504568329,0.9045697568848986,24
KEGG,KEGG_TYPE_I_DIABETES_MELLITUS,TYPE I DIABETES MELLITUS,-1.0852507110373748,0.9164107308048104,19
