gene,target,NDE,NDE_p,NIE,NIE_p,prop_med
TREM2,TREM2,13.674782387901688,0.011493375660786145,2.78032882018667,0.011881014586334946,0.16896445031742022
MANSC4,MANS4,14.22684630047925,0.007800915606943342,1.7334465385306643,0.012005177869415552,0.10860994569559523
EPHB2,EPHB2,20.54367885486918,1.9978173670206673e-4,-1.636404313276445,0.01610471685379192,-0.08654892642917085
DEFA5,HD-5,14.60953805500975,0.005920957349086129,1.6634857207868514,0.017019701344008504,0.10222351688940613
ADH7,ADH7,15.00974565027958,0.005550226463187301,1.790941887644937,0.020798601741136912,0.10659932122433735
ADAMTS5,ADAMTS-5,15.365023005323295,0.004483088379663554,1.2194826997466803,0.020969851734629143,0.07353144684763668
INHBB,Inhibin bB chain,13.065273368256204,0.019527924676077283,2.8765195976260047,0.02229670889654057,0.18043890067962756
SCG3,SCG3,13.461228860916151,0.014622141041285343,2.6502671710893835,0.029091610893055432,0.1644954115883851
MSMP,PSMP,13.803890456776637,0.010696767886627129,1.7838370654380598,0.03394270853583975,0.11443855833994031
PDCD1,PD-1,16.255234843177234,0.002131366738636685,0.7616732370685536,0.048280668747764974,0.04475979029073725
NPTXR,NPTXR,14.625241696943853,0.005644439434286908,1.9399491627987748,0.052000964837802414,0.117109979548338
GSR,Glutathione reductase,19.518237472922692,3.0686382219333e-4,-1.7392542478053992,0.053804766520569994,-0.09782641818055514
TRAPPC5,TPPC5,15.243571162075062,0.004100407349809185,1.4140081865168386,0.057179092953169725,0.08488677477837543
ERN1,ERN1,15.722126510970629,0.0030665927189152996,1.2426224476367564,0.062130489677323396,0.07324732306199488
ARL8B,ARL8B,15.185036977763453,0.004109008822128785,1.4222851235921086,0.07064910136433387,0.08564205083226606
SMS,SPSY,14.796754729984999,0.005444490994714381,1.497028648091262,0.07289040255835143,0.09187728923078453
FAM163B,F163B,14.940794264966417,0.005249762864532882,1.3600296690686688,0.0729481084091294,0.08343318562131163
FAM177A1,F177A,15.635502841789005,0.003120958095685515,1.2811298961885305,0.08641488889927962,0.0757319684142824
ELK1,ELK1,15.436554727491721,0.004060285856569715,1.1842918582218407,0.08820327328451408,0.07125340169133129
IGLL1,IGLL1,15.398459895177098,0.0032868617749138005,1.2642159994527278,0.09199159510093903,0.07587112702949285
ANGPTL7,ANGL7,17.608874777065534,8.937119293446989e-4,-0.24361174553681095,0.10866171305792666,-0.014028681575079199
IL1RL2,IL-1Rrp2,18.525245726772425,5.235307775544075e-4,-0.6403652642067444,0.11434152182399428,-0.03580483892789075
PRSS1,Trypsin,16.68928881269795,0.0016737358791461222,0.7415716026371746,0.11934952186983404,0.042543602838145796
SCAND1,SCAND1,16.016586489385627,0.003067361427195225,0.9390725754081359,0.11958761621087952,0.0553840208640429
CDCP1,CDCP1,15.75254881730928,0.0033879875604383106,1.1267845866035904,0.12963440798264145,0.06675527757170704
CCL23,MPIF-1,16.502804246496243,0.0017596685854432117,0.8994399405284941,0.13548299992507284,0.0516852844301038
TRIO,TRIO,15.547814887032311,0.0030797251167343103,1.061511525550039,0.13736345047253973,0.06391057043384334
TRAPPC3,TPPC3,18.28459163890184,7.690913705872281e-4,-0.9838501593897524,0.14085583939232715,-0.05686751406318909
IL16,IL-16,15.780898453012421,0.0028659646014466736,0.953813619837343,0.14253214405511616,0.056996117751245995
ASIP,ASIP,16.07431672746202,0.0027400812304864677,0.7496868584434421,0.16158719629109572,0.044560550324151287
SIGLEC8,SIGL8,18.066123529295076,7.141639722777281e-4,-0.7151146806967024,0.16181112524840358,-0.04121458797794744
TNNT2,Troponin T,16.256805744838935,0.003024580458756045,1.2548813795606002,0.1810337477178538,0.07165965053202315
FUT3,Fucosyltransferase 3,17.443003795173524,9.683064722738448e-4,-0.5563279698677276,0.1824891246801515,-0.03294478887514578
NPS,NPS,16.525839525248745,0.0018766159973959268,0.578043722265326,0.19413832548896937,0.03379605168606027
C1QTNF5,C1QTNF5,18.401607066412097,6.223245333263666e-4,-0.6257630485707562,0.2011667001921288,-0.035203000653172216
