gene,target,beta,se,ci_lower,ci_upper,p_value
CRYBB2,CRBB2,0.0019652353048597564,0.010663192981387229,-0.01901433732286916,0.022944807932588678,0.8538953064418607
ZNF41,ZNF41,0.008050236987906757,0.011535749954925617,-0.014646070245501077,0.030746544221314592,0.48578179880258154
ELK1,ELK1,-0.058308136781189866,0.02565670983151052,-0.10878708883976132,-0.00782918472261842,0.023717850461217858
SNAI2,SLUG,-0.04476328602912539,0.0183071178543539,-0.08078209477620708,-0.008744477282043694,0.015023917288654326
SCARA5,SCAR5,-0.013079411784186066,0.019949091750431715,-0.05232876420291742,0.026169940634545284,0.5125316701776174
NPDC1,NPDC1,9.330378962994992e-4,0.02133655375903214,-0.04104611225079111,0.04291218804339011,0.9651475161979632
TMEM190,TM190,0.011664392669096102,0.008238343207798397,-0.0045443470547233255,0.02787313239291553,0.15779641282267873
MFAP2,MFAP2,0.1775143138822259,0.03302602782895002,0.11253640804742837,0.24249221971702345,1.487496236690838e-7
TMEM108,TM108,-0.011321837893100822,0.008259175058946432,-0.02757156377696566,0.0049278879907640166,0.17140101989026188
HTN3,HIS3,0.008456564064937125,0.014596458130056942,-0.020261611999367317,0.03717474012924157,0.5627596101375444
GNPTG,GNPTG,0.0759814671056514,0.03696644597740664,0.003250884481315719,0.14871204972998708,0.04065762530382632
LRP1,LRP1,-0.01938110610583607,0.015639736089867125,-0.050151906160623635,0.01138969394895149,0.2161799725125717
SUDS3,SDS3,-0.0013889361632839067,0.016960859975549147,-0.034759015304389525,0.03198114297782171,0.9347853356717329
CSGALNACT2,CGAT2,-0.03518314279912764,0.012277471232657705,-0.0593387685915144,-0.01102751700674088,0.00443941592120563
LINGO3,LIGO3,-0.019664263502034474,0.012323995900477057,-0.04391142544585362,0.004582898441784673,0.11157281764993758
FAM163B,F163B,-0.07496565618610307,0.028360111684756086,-0.13076348558480155,-0.01916782678740457,0.008617046486813294
OSMR,OSMR,-0.01652830931581479,0.013070791757011485,-0.04224477392888121,0.009188155297251633,0.206971475981401
GNGT2,GBGT2,-0.043465383043575015,0.014803498087017945,-0.07259090518343929,-0.014339860903710738,0.0035661466695097047
MUCL1,MUCL1,0.019136457228989524,0.01168104626817306,-0.0038457169639337895,0.04211863142191284,0.10236199199480951
NRG3,NRG3,-0.0070177990118139915,0.009340864446088292,-0.025395722434427108,0.011360124410799123,0.4530290249512995
IGHA1 IGHA2,IgA,0.01728691476329335,0.013207543866788447,-0.008698606296943152,0.04327243582352985,0.1915275379033144
TLR4,TLR4,-0.040335546439388414,0.011980504638842076,-0.0639068976871956,-0.01676419519158124,8.541768559076169e-4
TENM3,TEN3,-0.01642409391211903,0.019490799981901456,-0.05477176843199273,0.021923580607754668,0.4000546263989332
TMEM119,TM119,-0.0013097602443899738,0.022459430847957085,-0.04549814373089718,0.042878623242117234,0.9535330961845092
C11orf87,CK087,-0.06694376993254365,0.057286655547680324,-0.17965387025240998,0.04576633038732268,0.24345283248957675
SPATA20,SPT20,-0.002924063844377756,0.018289603145804308,-0.03890841282873068,0.03306028513997517,0.8730807804734788
TRIO,TRIO,-0.020202348899159457,0.008312972380952278,-0.03655791970453787,-0.003846778093781051,0.01564432354998344
BMP15,BMP15,0.03678616997113115,0.01367238629988701,0.009886082738954957,0.06368625720330734,0.00751165242219245
OLFM3,NOE3,-0.056168456410587465,0.025993548746494774,-0.10731013083506682,-0.005026781986108106,0.03145474702122316
MILR1,MILR1,0.0016483826900799432,0.015521732509041198,-0.028890248191872525,0.03218701357203241,0.9154921360840665
